ID ;Old Score;New Score 
1;81;82
2;72;72
3;77;74
4;74;72
5;78;78
6;77;72
7;83;84
8;90;86
9;70;69
10;70;72
11;72;69
12;71;69
13;71;67
14;71;64
15;71;68
16;71;69
17;71;71
18;71;69
19;71;72
20;71;70
21;71;71
22;71;71
23;72;70
24;72;69
25;72;72
26;72;73
27;72;74
28;72;69
29;72;73
30;72;69
31;73;71
32;73;74
33;73;72
34;73;75
35;73;73
36;73;69
37;73;72
38;74;67
39;74;68
40;74;75
41;74;74
42;74;75
43;74;74
44;74;68
45;74;70
46;75;70
47;75;72
48;75;70
49;75;69
50;75;74
51;75;71
52;75;71
53;75;71
54;75;71
55;75;69
56;76;75
57;76;70
58;76;70
59;76;78
60;76;72
61;77;78
62;77;73
63;77;74
64;77;78
65;78;78
66;78;71
67;78;72
68;79;72
69;79;76
70;79;77
71;79;77
72;80;82
73;80;74
74;81;81
75;82;82
